codigo,nombre,precio,categoria
10001,TAJADO,3800,panadería
10002,MINITAJADO,2300,panadería
10003,SUPER MINI TAJADO,2000,panadería
10004,TOSTADA *8,1800,panadería
10007,HAMBURGUESA *6,2700,panadería
10008,PAN PERRO *6,2700,panadería
10009,HAMBURGUESA *4,1800,panadería
10010,PAN PERRO *4,2800,panadería
10016,SUPER PERRO,900,panadería
10019,ROLLO DE 500,400,panadería
10020,ROLLO DE 500 QUESO,400,panadería
10021,ROLLO DE 1000,800,panadería
10022,ROLLO DE 1000 QUESO,800,panadería
10023,ROLLO DE 2000,1600,panadería
10052,CASCARA X5,2400,panadería
10031,BOLA *6,1600,panadería
10033,MESTIZA DE 500,400,panadería
10034,MESTIZA *3,800,panadería
10035,MESTIZA DE 2000,1600,panadería
10040,INTEGRAL DE 500,400,panadería
10041,TOSTADA INTEGRAL *8,1800,panadería
10043,MINI INTEGRAL,1750,panadería
10055,PAN HOJALDRADO,1000,bizcochería
10058,ROLLO DE 500 LECHE,400,panadería
10059,ROLLO DE 1000 LECHE,800,panadería
10060,ROLLO DE 2000 LECHE,1600,panadería
10061,BOLA *3,800,panadería
10063,MOJICON 2000,1600,panadería
10069,MIGA DE PAN 1/2LB,2000,panadería
10070,MIGA DE PAN LB,4000,panadería
10072,ROSCON DE BOCADILLO,600,panadería
10073,MOJICON AZUCARADO DE 2000,1600,panadería
10079,PAN CON PANELA *6,2400,bizcochería
10080,PAN CUADRADO DE LECHE *6,2400,bizcochería
10082,PALITROQUE,1600,bizcochería
10086,ROLLO DE Q. Y M. GR,4200,panadería
10091,PAN REY 400 GR,4000,panadería
10092,ROLLO DE 2000 QUESO,1600,panadería
10133,SUPER HAMBURGUESA *6,3600,panadería
10137,INTEGRAL DE 1000,800,panadería
10175,PAN DE MAIZ CROCANTE,2500,panadería
10183,PAN ROJO,7700,bizcochería
10192,CASCARA X3(GRD),800,panadería
10193,CASCARA X6(GRD),1600,panadería
10202,PAN TIPO RAMO,7000,bizcochería
10203,PAN GALA*7,8400,bizcochería
10238,TOSTADO,5000,panadería
10251,INTEGRAL 2000,1600,panadería
10296,MESTIZA X6,1600,panadería
10297,SUPER MINI TAJADO INTEGRAL,2000,panadería
10024,ROLLO LECHE XL,2400,panadería
10291,ROLLO QUESO XL,2400,panadería
10254,ROLLO LECHE XXL,4000,panadería
10094,ROLLO QUESO XXL,4000,panadería
10322,SUPER HAMB. *6 + AJONJOLI,4200,panadería
10321,SUPER PERRO + AJONJOLI,1000,panadería
10068,TOSTADO X10,2500,panadería
10218,PAN CHOCOLATE *6,1600,panadería
10219,PAN CHOCOLATE GRANDE,1600,panadería
10326,PAN CUADRADO X10,1500,panadería
